Height,Weight,Obese
174,96,1
189,87,0
185,110,1
195,104,0
149,61,0
189,104,0
147,92,1
154,111,1
174,90,0
169,103,1
139,43,0
139,45,0
140,55,0
140,50,0
142,51,0
142,53,0
143,57,0
143,56,0
144,53,0
144,58,0
160,62,0
168,71,0
168,63,0
169,75,0
169,65,0
170,73,0
170,77,0
170,78,0
171,74,0
171,78,0
171,76,0
172,58,0
172,68,0
172,75,0
172,66,0
173,76,0
173,69,0
174,75,0
174,80,0
174,78,0
175,66,0
175,81,0
175,80,0
176,68,0
176,79,0
177,76,0
177,68,0
180,62,0
180,72,0
187,77,0
187,79,0
188,78,0
188,72,0
189,87,0
189,86,0
195,81,0
159,80,1
192,101,0
155,51,0
191,79,0
153,107,1
157,110,1
140,129,1
144,145,1
172,139,1
157,110,1
153,149,1
169,97,1
185,139,1
172,67,0
151,64,0
190,95,0
187,62,0
163,159,1
179,152,1
153,121,1
178,52,0
195,65,0
160,131,1
157,153,1
189,132,1
197,114,0
144,80,1
171,152,1
185,81,0
175,120,1
149,108,1
157,56,0
161,118,1
182,126,1
185,76,0
188,122,1
181,111,1
161,72,0
140,152,1
168,135,1
176,54,0
163,110,1
172,105,1
196,116,1
187,89,0
172,92,1
178,127,1
164,70,0
143,88,1
191,54,0
141,143,1
193,54,0
190,83,0
175,135,1
179,158,1
172,96,1
168,59,0
164,82,1
194,136,1
153,51,0
178,117,1
141,80,1
180,75,0
185,100,0
197,154,1
165,104,1
168,90,1
176,122,1
181,51,0
164,75,0
166,140,1
190,105,0
186,118,1
168,123,1
198,50,0
175,141,1
145,117,1
159,104,1
185,140,1
178,154,1
183,96,0
194,111,0
177,61,0
197,119,1
170,156,1
142,69,1
160,139,1
195,69,0
190,50,0
199,156,1
154,105,1
161,155,1
198,145,1
192,140,1
195,126,1
166,160,1
159,154,1
181,106,1
149,66,0
150,70,1
146,157,1
190,135,1
192,90,0
177,96,1
148,60,0
165,57,0
146,104,1
144,108,1
176,156,1
168,87,1
187,122,1
187,138,1
184,160,1
158,149,1
158,96,1
194,115,1
145,79,1
182,151,1
154,54,0
168,139,1
187,70,0
158,153,1
167,110,1
171,155,1
183,150,1
190,156,1
194,108,0
171,147,1
159,124,1
169,54,0
167,85,1
180,149,1
163,123,1
140,79,1
197,125,1
194,106,0
140,146,1
195,98,0
168,115,0
196,50,0
140,52,0
150,60,0
168,140,1
155,111,1
179,103,1
182,84,0
168,160,1
187,102,0
181,105,1
199,99,0
184,76,0
192,101,0
182,143,1
172,111,1
181,78,0
176,109,1
156,106,1
151,67,0
188,80,0
187,136,1
174,138,1
167,151,1
196,131,1
197,149,1
185,119,1
170,102,1
181,94,0
166,126,1
188,100,0
162,74,0
177,117,1
162,97,1
180,73,0
192,108,0
165,80,0
167,135,1
182,84,0
161,134,1
158,95,1
141,85,1
154,100,1
165,105,1
142,137,1
141,94,1
145,108,1
157,74,1
177,117,1
166,144,1
193,151,1
184,57,0
179,93,0
156,89,1
182,104,1
145,160,1
150,87,1
145,99,1
196,122,1
191,96,0
148,67,1
150,84,1
148,155,1
153,146,1
196,159,1
185,52,0
171,131,1
143,118,1
142,86,1
141,126,1
159,109,1
173,82,0
183,138,1
152,90,1
178,140,1
188,54,0
155,144,1
166,70,0
188,123,1
171,120,1
179,130,1
186,137,1
153,78,0
184,86,0
177,81,0
145,78,1
170,81,0
181,141,1
165,155,1
174,65,0
146,110,1
178,85,0
166,61,0
191,62,0
177,155,1
183,50,0
151,114,1
182,98,0
142,159,1
188,90,0
161,89,1
153,70,0
140,143,1
169,141,1
162,159,1
183,147,1
162,58,0
172,109,1
150,119,1
169,145,1
184,132,1
159,104,1
163,131,1
156,137,1
157,52,0
147,84,1
141,86,1
173,139,1
154,145,1
168,148,1
168,50,0
145,130,1
152,103,1
187,121,1
163,57,0
178,83,0
187,94,0
179,114,1
190,80,0
172,75,0
188,57,0
193,65,0
147,126,1
147,94,1
166,107,1
192,139,1
181,139,1
150,74,1
178,160,1
156,52,0
149,100,1
156,74,1
183,105,0
162,68,0
165,83,1
168,143,1
160,156,1
169,88,0
140,76,1
187,92,0
151,82,1
186,140,1
182,108,1
188,81,0
179,110,1
156,126,1
188,114,1
183,153,1
144,88,1
196,69,0
171,141,1
171,147,1
180,156,1
191,146,1
179,67,0
180,60,0
154,132,1
188,99,0
142,135,1
170,95,1
152,141,1
190,118,1
181,111,1
153,104,1
187,140,1
144,66,1
148,54,0
199,92,0
167,85,1
164,71,0
185,102,0
164,160,1
142,71,1
165,68,0
172,62,0
157,56,0
155,57,0
167,153,1
164,126,1
189,125,1
161,145,1
155,71,0
171,118,1
154,92,1
179,83,0
170,115,1
184,106,1
191,68,0
162,58,0
178,138,1
157,60,0
184,83,0
197,88,0
160,51,0
184,153,1
190,50,0
174,90,0
189,124,1
186,143,1
180,58,0
186,148,1
193,61,0
161,103,1
151,158,1
195,147,1
184,152,1
141,80,1
185,94,0
186,127,1
142,131,1
147,67,1
151,62,0
160,124,1
185,60,0
163,63,0
174,95,1
150,144,1
142,91,1
178,142,1
154,96,1
176,87,0
159,120,1
191,62,0
177,117,1
151,154,1
182,149,1
197,72,0
146,138,1
160,83,1
157,66,0
150,50,0
167,58,0
180,70,0
183,76,0
183,87,0
152,154,1
164,71,0
187,96,0
169,136,1
149,61,0
163,137,1
195,104,0
174,107,1
182,70,0
169,110,1
193,130,1
148,141,1
186,68,0
165,143,1
146,123,1
166,133,1
179,56,0
177,101,1
181,154,1
161,154,1
157,103,1
169,98,1
152,114,1
162,64,0
162,130,1
177,61,0
195,61,0
140,146,1
186,146,1
178,107,1
174,54,0
180,59,0
188,141,1
187,130,1
153,77,1
165,95,1
178,79,0
163,154,1
150,97,1
179,127,1
165,62,0
168,158,1
153,133,1
184,157,1
188,65,0
166,153,1
172,116,1
182,73,0
143,149,1
152,146,1
186,128,1
159,140,1
146,70,1
176,121,1
146,101,1
159,145,1
162,157,1
172,90,1
169,121,1
182,50,0
183,79,0
176,77,0
188,128,1
175,83,0
154,81,1
184,147,1
179,123,1
152,132,1
179,56,0
145,141,1
181,80,0
158,127,1
188,99,0
145,142,1
161,115,1
198,109,0
147,142,1
154,112,1
178,65,0
195,153,1
167,79,0
183,131,1
164,142,1
167,64,0
151,55,0
147,107,1
155,115,1
172,108,1
142,86,1
146,85,1
188,115,1
173,111,1
160,109,1
187,80,0
198,136,1
179,150,1
164,59,0
146,147,1
198,50,0
170,53,0
152,98,1
150,153,1
184,121,1
141,136,1
150,95,1
173,131,1
