Country,GDP
Australia,50961.865
Austria,43724.031
Belgium,40106.632
Belize,4841.735
Bolivia,2886.231
Botswana,6040.957
Brazil,8669.998
Bulgaria,6831.661
Canada,43331.961
Chile,13340.905
China,7989.720
Colombia,6083.510
Costa Rica,10936.243
Croatia,11572.905
Czech Republic,17256.918
Denmark,52114.165
Dominican Republic,6755.736
Ecuador,6070.951
Estonia,17288.083
Ethiopia,686593.000
Fiji,5373.633
Finland,41973.988
France,37675.006
Germany,40996.511
Ghana,1340.416
Greece,18064.288
Guatemala,3929.081
Guinea,542417.000
Haiti,804564.000
Honduras,2406.615
Hungary,12239.894
Iceland,50854.583
India,1617.309
Indonesia,3362.357
Iraq,4819.487
Ireland,51350.744
Israel,35343.336
Italy,29866.581
Jamaica,4948.018
Japan,32485.545
Kenya,1388.450
Korea,27195.197
Kuwait,29363.027
Latvia,13618.569
Lebanon,11236.793
Liberia,473636.000
Libya,6058.671
Lithuania,14210.280
Luxembourg,101994.093
Madagascar,401771.000
Malaysia,9556.774
Mauritius,9218.428
Mexico,9009.280
Moldova,1804.685
Mongolia,3951.906
Montenegro,6489.101
Morocco,3078.593
Mozambique,534879
Namibia,5776.903
Netherlands,43603.115
New Zealand,37044.891
Nicaragua,1949.232
Nigeria,2742.861
Norway,74822.106
Oman,15232.961
Pakistan,1449.978
Panama,13012.562
Paraguay,4009.567
Peru,6021.104
Philippines,2858.144
Poland,12495.334
Portugal,19121.592
Qatar,76576.080
Romania,8906.296
Russia,9054.914
Samoa,4334.217
Saudi Arabia,20812.586
Serbia,5119.757
Singapore,52887.770
Slovak Republic,15991.736
Slovenia,20732.482
Solomon Islands,1952.481
South Africa,5694.572
Spain,25864.721
Sri Lanka,3889.411
Sudan,2175.397
Suriname,9305.687
Swaziland,3139.664
Sweden,49866.266
Switzerland,80675.308
Thailand,5742.282
Tonga,3972.741
Trinidad and Tobago,18085.759
Tunisia,3922.653
Turkey,9437.372
Turkmenistan,6622.414
United Kingdom,43770.688
United States,55805.204
Uruguay,15748.192
Uzbekistan,2120.778
Venezuela,7744.746
Vietnam,2088.344
Yemen,1302.940
Zambia,1350.151
Zimbabwe,1064.350
